,path,flow,name,node_id,thres_freq,type,rm_plant,rm_poll,codelengths,num_nodes,num_leaf_modules,max_depth,num_top_modules,entropy_rate,relative_codelength_savings
34,"(1, 4, 5)",0.0,Mordellistena sp. (Mor. : Col. ),1456,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
35,"(1, 5, 1)",0.0388655462184874,Rubus,69,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
36,"(1, 5, 2)",0.0,Andrena (Stenomelissa) halictoides (And. : Hym. ),1033,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
37,"(1, 5, 3)",0.0,Philopota nigroaenea (Acr. : Dip. ),1504,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
38,"(2, 1, 1)",0.2457983193277311,Antenoron,10,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
39,"(2, 1, 2)",0.0,ANTHOMYIIDAE28 (Ant. : Dip. ),1048,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
40,"(2, 1, 3)",0.0,ANTHOMYIIDAE38 (Ant. : Dip. ),1054,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
41,"(2, 1, 4)",0.0,CLUSIIDAE2 (Clu. : Dip. ),1208,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
42,"(2, 1, 5)",0.0,DELTOCEPHALIDAE4 (Del. : Hem. ),1233,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
43,"(2, 1, 6)",0.0,EMPIDIDAE27 (Emp. : Dip. ),1274,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
44,"(2, 1, 7)",0.0,EMPIDIDAE32 (Emp. : Dip. ),1279,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
45,"(2, 1, 8)",0.0,LONCHOPTERIDAE1 (Lon. : Dip. ),1417,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
46,"(2, 1, 9)",0.0,MECOPTERA5 (Mec. : Mec. ),1426,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
